epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,5903.07,1.6668,1.61865,1.57075,0.55179,0.51438,0.52448,0.24491,1.86012,1.71324,1.7422,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,6083.5,1.65661,1.59562,1.56309,0.55384,0.50479,0.52365,0.24316,1.86756,1.69766,1.75287,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,6263.9,1.63945,1.56869,1.55668,0.57942,0.49414,0.52712,0.24555,1.87497,1.68964,1.75989,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,6442.19,1.63958,1.55556,1.54264,0.55683,0.51677,0.53176,0.2499,1.8731,1.68378,1.75044,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,6623.97,1.6266,1.52213,1.53042,0.57237,0.5181,0.53677,0.24921,1.87672,1.67145,1.75024,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,6805.88,1.60675,1.49962,1.52329,0.58735,0.50719,0.53813,0.25017,1.88643,1.67328,1.76605,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,6988.26,1.61168,1.48847,1.52372,0.5865,0.50692,0.54089,0.25067,1.88537,1.66695,1.75962,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,7169.22,1.58488,1.47743,1.50819,0.57284,0.51597,0.53656,0.25103,1.88828,1.67024,1.7669,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,7350.6,1.58001,1.4424,1.50338,0.58511,0.51702,0.54272,0.25345,1.88532,1.65255,1.76278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,7530.19,1.60471,1.39434,1.56174,0.57174,0.51491,0.53753,0.25372,1.89093,1.65159,1.7682,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,7708.73,1.5764,1.3509,1.54029,0.57462,0.5229,0.5391,0.25363,1.90006,1.64794,1.77452,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,7887.18,1.56041,1.3143,1.52588,0.56462,0.53195,0.53654,0.25356,1.91217,1.64621,1.78533,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,8065.92,1.54108,1.28381,1.52257,0.57054,0.53168,0.54173,0.25314,1.92136,1.6427,1.79522,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,8245.11,1.52273,1.24844,1.50292,0.57358,0.51928,0.54046,0.25277,1.93007,1.64512,1.80283,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,8422.89,1.50752,1.23318,1.49362,0.5777,0.51944,0.53717,0.2493,1.9381,1.65363,1.81041,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,8601.52,1.49518,1.19822,1.48194,0.58568,0.51571,0.53805,0.24965,1.9486,1.6552,1.81777,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,8780.8,1.48193,1.18199,1.47406,0.58697,0.51225,0.53908,0.25051,1.95843,1.65971,1.82537,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,8959.08,1.46661,1.15659,1.46287,0.58357,0.5181,0.53686,0.24978,1.9629,1.66696,1.83033,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,9136.78,1.45025,1.13751,1.45468,0.58149,0.52195,0.53627,0.24779,1.96892,1.67054,1.8367,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
